Author,Year,Title,Publication,DOI,Authors,Published-print,Volume,Page
Anders,2021,A Framework for Cloud-Based Spatially-Explicit Uncertainty and Sensitivity Analysis in Spatial Multi-Criteria Models,ISPRS Int J Geo-Inf,10.3390/ijgi10040244,"Erlacher, Christoph; Anders, Karl-Heinrich; Jankowski, Piotr; Paulus, Gernot; Blaschke, Thomas",,10,10
Proestakis,2018,Earth-Observation-Based Estimation and Forecasting of Particulate Matter Impact on Solar Energy in Egypt,Remote Sens,10.3390/rs10121870,"Kosmopoulos, Panagiotis; Kazadzis, Stelios; El-Askary, Hesham; Taylor, Michael; Gkikas, Antonis; Proestakis, Emmanouil; Kontoes, Charalampos; El-Khayat, Mohamed",,10,10
Lenti,2020,Mapping Three Decades of Changes in the Brazilian Savanna Native Vegetation Using Landsat Data Processed in the Google Earth Engine Platform,Remote Sens,10.3390/rs12060924,"Alencar, Ane; Z. Shimbo, Julia; Lenti, Felipe; Balzani Marques, Camila; Zimbres, Bárbara; Rosa, Marcos; Arruda, Vera; Castro, Isabel; Fernandes Márcico Ribeiro, João; Varela, Victória; Alencar, Isa; Piontekowski, Valderli; Ribeiro, Vivian; M. C. Bustamante, Mercedes; Eyji Sano, Edson; Barroso, Mario",,12,12
Castro,2020,Mapping Three Decades of Changes in the Brazilian Savanna Native Vegetation Using Landsat Data Processed in the Google Earth Engine Platform,Remote Sens,10.3390/rs12060924,"Alencar, Ane; Z. Shimbo, Julia; Lenti, Felipe; Balzani Marques, Camila; Zimbres, Bárbara; Rosa, Marcos; Arruda, Vera; Castro, Isabel; Fernandes Márcico Ribeiro, João; Varela, Victória; Alencar, Isa; Piontekowski, Valderli; Ribeiro, Vivian; M. C. Bustamante, Mercedes; Eyji Sano, Edson; Barroso, Mario",,12,12
Fonseka,2019,"Urbanization and Its Impacts on Land Surface Temperature in Colombo Metropolitan Area, Sri Lanka, from 1988 to 2016",Remote Sens,10.3390/rs11080957,"Fonseka, H.P.U.; Zhang, Hongsheng; Sun, Ying; Su, Hua; Lin, Hui; Lin, Yinyi",,11,11
Kinaci,2022,Semantic Segmentation of High-Resolution Airborne Images with Dual-Stream DeepLabV3+,ISPRS Int J Geo-Inf,10.3390/ijgi11010023,"Akcay, Ozgun; Kinaci, Ahmet Cumhur; Avsar, Emin Ozgur; Aydar, Umut",,11,11
Avsar,2022,Semantic Segmentation of High-Resolution Airborne Images with Dual-Stream DeepLabV3+,ISPRS Int J Geo-Inf,10.3390/ijgi11010023,"Akcay, Ozgun; Kinaci, Ahmet Cumhur; Avsar, Emin Ozgur; Aydar, Umut",,11,11
Aydar,2022,Semantic Segmentation of High-Resolution Airborne Images with Dual-Stream DeepLabV3+,ISPRS Int J Geo-Inf,10.3390/ijgi11010023,"Akcay, Ozgun; Kinaci, Ahmet Cumhur; Avsar, Emin Ozgur; Aydar, Umut",,11,11
Li,2020,Multimodal Bilinear Fusion Network With Second-Order Attention-Based Channel Selection for Land Cover Classification,IEEE J Sel Top Appl Earth Observ Remote Sens,10.1109/jstars.2020.2975252,"Li, Xiao; Lei, Lin; Sun, Yuli; Li, Ming; Kuang, Gangyao",2020,13,13
Andreo,2021,Spatial Distribution of Aedes aegypti Oviposition Temporal Patterns and Their Relationship with Environment and Dengue Incidence,Insects,10.3390/insects12100919,"Andreo, Verónica; Porcasi, Ximena; Guzman, Claudio; Lopez, Laura; Scavuzzo, Carlos M.",,12,12
Trong Hop Dang,2019,Multiple kernel collaborative fuzzy clustering algorithm with weighted super-pixels for satellite image land-cover classification,Eng Appl Artif Intell,10.1016/j.engappai.2019.05.004,"Dang, Trong Hop; Mai, Dinh Sinh; Ngo, Long Thanh",2019,85,85
Salekin,2020,Sentinel-2 Data for Land Cover/Use Mapping: A Review,Remote Sens,10.3390/rs12142291,"Phiri, Darius; Simwanda, Matamyo; Salekin, Serajis; Nyirenda, Vincent; Murayama, Yuji; Ranagalage, Manjula",,12,12
Li,2018,Chemical Diversity of Metal Sulfide Minerals and Its Implications for the Origin of Life,Life-Basel,10.3390/life8040046,"Li, Yamei; Kitadai, Norio; Nakamura, Ryuhei",,8,8
Beckley,2021,Altimetry for the future: Building on 25 years of progress,Adv Space Res,10.1016/j.asr.2021.01.022,"Abdalla, Saleh; Abdeh Kolahchi, Abdolnabi; Ablain, Michaël; Adusumilli, Susheel; Aich Bhowmick, Suchandra; Alou-Font, Eva; Amarouche, Laiba; Andersen, Ole Baltazar; Antich, Helena; Aouf, Lotfi; Arbic, Brian; Armitage, Thomas; Arnault, Sabine; Artana, Camila; Aulicino, Giuseppe; Ayoub, Nadia; Badulin, Sergei; Baker, Steven; Banks, Chris; Bao, Lifeng; Barbetta, Silvia; Barceló-Llull, Bàrbara; Barlier, François; Basu, Sujit; Bauer-Gottwein, Peter; Becker, Matthias; Beckley, Brian; Bellefond, Nicole; Belonenko, Tatyana; Benkiran, Mounir; Benkouider, Touati; Bennartz, Ralf; Benveniste, Jérôme; Bercher, Nicolas; Berge-Nguyen, Muriel; Bettencourt, Joao; Blarel, Fabien; Blazquez, Alejandro; Blumstein, Denis; Bonnefond, Pascal; Borde, Franck; Bouffard, Jérôme; Boy, François; Boy, Jean-Paul; Brachet, Cédric; Brasseur, Pierre; Braun, Alexander; Brocca, Luca; Brockley, David; Brodeau, Laurent; Brown, Shannon; Bruinsma, Sean; Bulczak, Anna; Buzzard, Sammie; Cahill, Madeleine; Calmant, Stéphane; Calzas, Michel; Camici, Stefania; Cancet, Mathilde; Capdeville, Hugues; Carabajal, Claudia Cristina; Carrere, Loren; Cazenave, Anny; Chassignet, Eric P.; Chauhan, Prakash; Cherchali, Selma; Chereskin, Teresa; Cheymol, Cecile; Ciani, Daniele; Cipollini, Paolo; Cirillo, Francesca; Cosme, Emmanuel; Coss, Steve; Cotroneo, Yuri; Cotton, David; Couhert, Alexandre; Coutin-Faye, Sophie; Crétaux, Jean-François; Cyr, Frederic; d’Ovidio, Francesco; Darrozes, José; David, Cedric; Dayoub, Nadim; De Staerke, Danielle; Deng, Xiaoli; Desai, Shailen; Desjonqueres, Jean-Damien; Dettmering, Denise; Di Bella, Alessandro; Díaz-Barroso, Lara; Dibarboure, Gerald; Dieng, Habib Boubacar; Dinardo, Salvatore; Dobslaw, Henryk; Dodet, Guillaume; Doglioli, Andrea; Domeneghetti, Alessio; Donahue, David; Dong, Shenfu; Donlon, Craig; Dorandeu, Joël; Drezen, Christine; Drinkwater, Mark; Du Penhoat, Yves; Dushaw, Brian; Egido, Alejandro; Erofeeva, Svetlana; Escudier, Philippe; Esselborn, Saskia; Exertier, Pierre; Fablet, Ronan; Falco, Cédric; Farrell, Sinead Louise; Faugere, Yannice; Femenias, Pierre; Fenoglio, Luciana; Fernandes, Joana; Fernández, Juan Gabriel; Ferrage, Pascale; Ferrari, Ramiro; Fichen, Lionel; Filippucci, Paolo; Flampouris, Stylianos; Fleury, Sara; Fornari, Marco; Forsberg, Rene; Frappart, Frédéric; Frery, Marie-laure; Garcia, Pablo; Garcia-Mondejar, Albert; Gaudelli, Julia; Gaultier, Lucile; Getirana, Augusto; Gibert, Ferran; Gil, Artur; Gilbert, Lin; Gille, Sarah; Giulicchi, Luisella; Gómez-Enri, Jesús; Gómez-Navarro, Laura; Gommenginger, Christine; Gourdeau, Lionel; Griffin, David; Groh, Andreas; Guerin, Alexandre; Guerrero, Raul; Guinle, Thierry; Gupta, Praveen; Gutknecht, Benjamin D.; Hamon, Mathieu; Han, Guoqi; Hauser, Danièle; Helm, Veit; Hendricks, Stefan; Hernandez, Fabrice; Hogg, Anna; Horwath, Martin; Idžanović, Martina; Janssen, Peter; Jeansou, Eric; Jia, Yongjun; Jia, Yuanyuan; Jiang, Liguang; Johannessen, Johnny A.; Kamachi, Masafumi; Karimova, Svetlana; Kelly, Kathryn; Kim, Sung Yong; King, Robert; Kittel, Cecile M.M.; Klein, Patrice; Klos, Anna; Knudsen, Per; Koenig, Rolf; Kostianoy, Andrey; Kouraev, Alexei; Kumar, Raj; Labroue, Sylvie; Lago, Loreley Selene; Lambin, Juliette; Lasson, Léa; Laurain, Olivier; Laxenaire, Rémi; Lázaro, Clara; Le Gac, Sophie; Le Sommer, Julien; Le Traon, Pierre-Yves; Lebedev, Sergey; Léger, Fabien; Legresy, Benoı̂t; Lemoine, Frank; Lenain, Luc; Leuliette, Eric; Levy, Marina; Lillibridge, John; Liu, Jianqiang; Llovel, William; Lyard, Florent; Macintosh, Claire; Makhoul Varona, Eduard; Manfredi, Cécile; Marin, Frédéric; Mason, Evan; Massari, Christian; Mavrocordatos, Constantin; Maximenko, Nikolai; McMillan, Malcolm; Medina, Thierry; Melet, Angelique; Meloni, Marco; Mertikas, Stelios; Metref, Sammy; Meyssignac, Benoit; Minster, Jean-François; Moreau, Thomas; Moreira, Daniel; Morel, Yves; Morrow, Rosemary; Moyard, John; Mulet, Sandrine; Naeije, Marc; Nerem, Robert Steven; Ngodock, Hans; Nielsen, Karina; Nilsen, Jan Even Øie; Niño, Fernando; Nogueira Loddo, Carolina; Noûs, Camille; Obligis, Estelle; Otosaka, Inès; Otten, Michiel; Oztunali Ozbahceci, Berguzar; P. Raj, Roshin; Paiva, Rodrigo; Paniagua, Guillermina; Paolo, Fernando; Paris, Adrien; Pascual, Ananda; Passaro, Marcello; Paul, Stephan; Pavelsky, Tamlin; Pearson, Christopher; Penduff, Thierry; Peng, Fukai; Perosanz, Felix; Picot, Nicolas; Piras, Fanny; Poggiali, Valerio; Poirier, Étienne; Ponce de León, Sonia; Prants, Sergey; Prigent, Catherine; Provost, Christine; Pujol, M-Isabelle; Qiu, Bo; Quilfen, Yves; Rami, Ali; Raney, R. Keith; Raynal, Matthias; Remy, Elisabeth; Rémy, Frédérique; Restano, Marco; Richardson, Annie; Richardson, Donald; Ricker, Robert; Ricko, Martina; Rinne, Eero; Rose, Stine Kildegaard; Rosmorduc, Vinca; Rudenko, Sergei; Ruiz, Simón; Ryan, Barbara J.; Salaün, Corinne; Sanchez-Roman, Antonio; Sandberg Sørensen, Louise; Sandwell, David; Saraceno, Martin; Scagliola, Michele; Schaeffer, Philippe; Scharffenberg, Martin G.; Scharroo, Remko; Schiller, Andreas; Schneider, Raphael; Schwatke, Christian; Scozzari, Andrea; Ser-giacomi, Enrico; Seyler, Frederique; Shah, Rashmi; Sharma, Rashmi; Shaw, Andrew; Shepherd, Andrew; Shriver, Jay; Shum, C.K.; Simons, Wim; Simonsen, Sebatian B.; Slater, Thomas; Smith, Walter; Soares, Saulo; Sokolovskiy, Mikhail; Soudarin, Laurent; Spatar, Ciprian; Speich, Sabrina; Srinivasan, Margaret; Srokosz, Meric; Stanev, Emil; Staneva, Joanna; Steunou, Nathalie; Stroeve, Julienne; Su, Bob; Sulistioadi, Yohanes Budi; Swain, Debadatta; Sylvestre-baron, Annick; Taburet, Nicolas; Tailleux, Rémi; Takayama, Katsumi; Tapley, Byron; Tarpanelli, Angelica; Tavernier, Gilles; Testut, Laurent; Thakur, Praveen K.; Thibaut, Pierre; Thompson, LuAnne; Tintoré, Joaquín; Tison, Céline; Tourain, Cédric; Tournadre, Jean; Townsend, Bill; Tran, Ngan; Trilles, Sébastien; Tsamados, Michel; Tseng, Kuo-Hsin; Ubelmann, Clément; Uebbing, Bernd; Vergara, Oscar; Verron, Jacques; Vieira, Telmo; Vignudelli, Stefano; Vinogradova Shiffer, Nadya; Visser, Pieter; Vivier, Frederic; Volkov, Denis; von Schuckmann, Karina; Vuglinskii, Valerii; Vuilleumier, Pierrik; Walter, Blake; Wang, Jida; Wang, Chao; Watson, Christopher; Wilkin, John; Willis, Josh; Wilson, Hilary; Woodworth, Philip; Yang, Kehan; Yao, Fangfang; Zaharia, Raymond; Zakharova, Elena; Zaron, Edward D.; Zhang, Yongsheng; Zhao, Zhongxiang; Zinchenko, Vadim; Zlotnicki, Victor",2021,68,68
Du Penhoat,2021,Altimetry for the future: Building on 25 years of progress,Adv Space Res,10.1016/j.asr.2021.01.022,"Abdalla, Saleh; Abdeh Kolahchi, Abdolnabi; Ablain, Michaël; Adusumilli, Susheel; Aich Bhowmick, Suchandra; Alou-Font, Eva; Amarouche, Laiba; Andersen, Ole Baltazar; Antich, Helena; Aouf, Lotfi; Arbic, Brian; Armitage, Thomas; Arnault, Sabine; Artana, Camila; Aulicino, Giuseppe; Ayoub, Nadia; Badulin, Sergei; Baker, Steven; Banks, Chris; Bao, Lifeng; Barbetta, Silvia; Barceló-Llull, Bàrbara; Barlier, François; Basu, Sujit; Bauer-Gottwein, Peter; Becker, Matthias; Beckley, Brian; Bellefond, Nicole; Belonenko, Tatyana; Benkiran, Mounir; Benkouider, Touati; Bennartz, Ralf; Benveniste, Jérôme; Bercher, Nicolas; Berge-Nguyen, Muriel; Bettencourt, Joao; Blarel, Fabien; Blazquez, Alejandro; Blumstein, Denis; Bonnefond, Pascal; Borde, Franck; Bouffard, Jérôme; Boy, François; Boy, Jean-Paul; Brachet, Cédric; Brasseur, Pierre; Braun, Alexander; Brocca, Luca; Brockley, David; Brodeau, Laurent; Brown, Shannon; Bruinsma, Sean; Bulczak, Anna; Buzzard, Sammie; Cahill, Madeleine; Calmant, Stéphane; Calzas, Michel; Camici, Stefania; Cancet, Mathilde; Capdeville, Hugues; Carabajal, Claudia Cristina; Carrere, Loren; Cazenave, Anny; Chassignet, Eric P.; Chauhan, Prakash; Cherchali, Selma; Chereskin, Teresa; Cheymol, Cecile; Ciani, Daniele; Cipollini, Paolo; Cirillo, Francesca; Cosme, Emmanuel; Coss, Steve; Cotroneo, Yuri; Cotton, David; Couhert, Alexandre; Coutin-Faye, Sophie; Crétaux, Jean-François; Cyr, Frederic; d’Ovidio, Francesco; Darrozes, José; David, Cedric; Dayoub, Nadim; De Staerke, Danielle; Deng, Xiaoli; Desai, Shailen; Desjonqueres, Jean-Damien; Dettmering, Denise; Di Bella, Alessandro; Díaz-Barroso, Lara; Dibarboure, Gerald; Dieng, Habib Boubacar; Dinardo, Salvatore; Dobslaw, Henryk; Dodet, Guillaume; Doglioli, Andrea; Domeneghetti, Alessio; Donahue, David; Dong, Shenfu; Donlon, Craig; Dorandeu, Joël; Drezen, Christine; Drinkwater, Mark; Du Penhoat, Yves; Dushaw, Brian; Egido, Alejandro; Erofeeva, Svetlana; Escudier, Philippe; Esselborn, Saskia; Exertier, Pierre; Fablet, Ronan; Falco, Cédric; Farrell, Sinead Louise; Faugere, Yannice; Femenias, Pierre; Fenoglio, Luciana; Fernandes, Joana; Fernández, Juan Gabriel; Ferrage, Pascale; Ferrari, Ramiro; Fichen, Lionel; Filippucci, Paolo; Flampouris, Stylianos; Fleury, Sara; Fornari, Marco; Forsberg, Rene; Frappart, Frédéric; Frery, Marie-laure; Garcia, Pablo; Garcia-Mondejar, Albert; Gaudelli, Julia; Gaultier, Lucile; Getirana, Augusto; Gibert, Ferran; Gil, Artur; Gilbert, Lin; Gille, Sarah; Giulicchi, Luisella; Gómez-Enri, Jesús; Gómez-Navarro, Laura; Gommenginger, Christine; Gourdeau, Lionel; Griffin, David; Groh, Andreas; Guerin, Alexandre; Guerrero, Raul; Guinle, Thierry; Gupta, Praveen; Gutknecht, Benjamin D.; Hamon, Mathieu; Han, Guoqi; Hauser, Danièle; Helm, Veit; Hendricks, Stefan; Hernandez, Fabrice; Hogg, Anna; Horwath, Martin; Idžanović, Martina; Janssen, Peter; Jeansou, Eric; Jia, Yongjun; Jia, Yuanyuan; Jiang, Liguang; Johannessen, Johnny A.; Kamachi, Masafumi; Karimova, Svetlana; Kelly, Kathryn; Kim, Sung Yong; King, Robert; Kittel, Cecile M.M.; Klein, Patrice; Klos, Anna; Knudsen, Per; Koenig, Rolf; Kostianoy, Andrey; Kouraev, Alexei; Kumar, Raj; Labroue, Sylvie; Lago, Loreley Selene; Lambin, Juliette; Lasson, Léa; Laurain, Olivier; Laxenaire, Rémi; Lázaro, Clara; Le Gac, Sophie; Le Sommer, Julien; Le Traon, Pierre-Yves; Lebedev, Sergey; Léger, Fabien; Legresy, Benoı̂t; Lemoine, Frank; Lenain, Luc; Leuliette, Eric; Levy, Marina; Lillibridge, John; Liu, Jianqiang; Llovel, William; Lyard, Florent; Macintosh, Claire; Makhoul Varona, Eduard; Manfredi, Cécile; Marin, Frédéric; Mason, Evan; Massari, Christian; Mavrocordatos, Constantin; Maximenko, Nikolai; McMillan, Malcolm; Medina, Thierry; Melet, Angelique; Meloni, Marco; Mertikas, Stelios; Metref, Sammy; Meyssignac, Benoit; Minster, Jean-François; Moreau, Thomas; Moreira, Daniel; Morel, Yves; Morrow, Rosemary; Moyard, John; Mulet, Sandrine; Naeije, Marc; Nerem, Robert Steven; Ngodock, Hans; Nielsen, Karina; Nilsen, Jan Even Øie; Niño, Fernando; Nogueira Loddo, Carolina; Noûs, Camille; Obligis, Estelle; Otosaka, Inès; Otten, Michiel; Oztunali Ozbahceci, Berguzar; P. Raj, Roshin; Paiva, Rodrigo; Paniagua, Guillermina; Paolo, Fernando; Paris, Adrien; Pascual, Ananda; Passaro, Marcello; Paul, Stephan; Pavelsky, Tamlin; Pearson, Christopher; Penduff, Thierry; Peng, Fukai; Perosanz, Felix; Picot, Nicolas; Piras, Fanny; Poggiali, Valerio; Poirier, Étienne; Ponce de León, Sonia; Prants, Sergey; Prigent, Catherine; Provost, Christine; Pujol, M-Isabelle; Qiu, Bo; Quilfen, Yves; Rami, Ali; Raney, R. Keith; Raynal, Matthias; Remy, Elisabeth; Rémy, Frédérique; Restano, Marco; Richardson, Annie; Richardson, Donald; Ricker, Robert; Ricko, Martina; Rinne, Eero; Rose, Stine Kildegaard; Rosmorduc, Vinca; Rudenko, Sergei; Ruiz, Simón; Ryan, Barbara J.; Salaün, Corinne; Sanchez-Roman, Antonio; Sandberg Sørensen, Louise; Sandwell, David; Saraceno, Martin; Scagliola, Michele; Schaeffer, Philippe; Scharffenberg, Martin G.; Scharroo, Remko; Schiller, Andreas; Schneider, Raphael; Schwatke, Christian; Scozzari, Andrea; Ser-giacomi, Enrico; Seyler, Frederique; Shah, Rashmi; Sharma, Rashmi; Shaw, Andrew; Shepherd, Andrew; Shriver, Jay; Shum, C.K.; Simons, Wim; Simonsen, Sebatian B.; Slater, Thomas; Smith, Walter; Soares, Saulo; Sokolovskiy, Mikhail; Soudarin, Laurent; Spatar, Ciprian; Speich, Sabrina; Srinivasan, Margaret; Srokosz, Meric; Stanev, Emil; Staneva, Joanna; Steunou, Nathalie; Stroeve, Julienne; Su, Bob; Sulistioadi, Yohanes Budi; Swain, Debadatta; Sylvestre-baron, Annick; Taburet, Nicolas; Tailleux, Rémi; Takayama, Katsumi; Tapley, Byron; Tarpanelli, Angelica; Tavernier, Gilles; Testut, Laurent; Thakur, Praveen K.; Thibaut, Pierre; Thompson, LuAnne; Tintoré, Joaquín; Tison, Céline; Tourain, Cédric; Tournadre, Jean; Townsend, Bill; Tran, Ngan; Trilles, Sébastien; Tsamados, Michel; Tseng, Kuo-Hsin; Ubelmann, Clément; Uebbing, Bernd; Vergara, Oscar; Verron, Jacques; Vieira, Telmo; Vignudelli, Stefano; Vinogradova Shiffer, Nadya; Visser, Pieter; Vivier, Frederic; Volkov, Denis; von Schuckmann, Karina; Vuglinskii, Valerii; Vuilleumier, Pierrik; Walter, Blake; Wang, Jida; Wang, Chao; Watson, Christopher; Wilkin, John; Willis, Josh; Wilson, Hilary; Woodworth, Philip; Yang, Kehan; Yao, Fangfang; Zaharia, Raymond; Zakharova, Elena; Zaron, Edward D.; Zhang, Yongsheng; Zhao, Zhongxiang; Zinchenko, Vadim; Zlotnicki, Victor",2021,68,68
Garcia-Mondejar,2021,Altimetry for the future: Building on 25 years of progress,Adv Space Res,10.1016/j.asr.2021.01.022,"Abdalla, Saleh; Abdeh Kolahchi, Abdolnabi; Ablain, Michaël; Adusumilli, Susheel; Aich Bhowmick, Suchandra; Alou-Font, Eva; Amarouche, Laiba; Andersen, Ole Baltazar; Antich, Helena; Aouf, Lotfi; Arbic, Brian; Armitage, Thomas; Arnault, Sabine; Artana, Camila; Aulicino, Giuseppe; Ayoub, Nadia; Badulin, Sergei; Baker, Steven; Banks, Chris; Bao, Lifeng; Barbetta, Silvia; Barceló-Llull, Bàrbara; Barlier, François; Basu, Sujit; Bauer-Gottwein, Peter; Becker, Matthias; Beckley, Brian; Bellefond, Nicole; Belonenko, Tatyana; Benkiran, Mounir; Benkouider, Touati; Bennartz, Ralf; Benveniste, Jérôme; Bercher, Nicolas; Berge-Nguyen, Muriel; Bettencourt, Joao; Blarel, Fabien; Blazquez, Alejandro; Blumstein, Denis; Bonnefond, Pascal; Borde, Franck; Bouffard, Jérôme; Boy, François; Boy, Jean-Paul; Brachet, Cédric; Brasseur, Pierre; Braun, Alexander; Brocca, Luca; Brockley, David; Brodeau, Laurent; Brown, Shannon; Bruinsma, Sean; Bulczak, Anna; Buzzard, Sammie; Cahill, Madeleine; Calmant, Stéphane; Calzas, Michel; Camici, Stefania; Cancet, Mathilde; Capdeville, Hugues; Carabajal, Claudia Cristina; Carrere, Loren; Cazenave, Anny; Chassignet, Eric P.; Chauhan, Prakash; Cherchali, Selma; Chereskin, Teresa; Cheymol, Cecile; Ciani, Daniele; Cipollini, Paolo; Cirillo, Francesca; Cosme, Emmanuel; Coss, Steve; Cotroneo, Yuri; Cotton, David; Couhert, Alexandre; Coutin-Faye, Sophie; Crétaux, Jean-François; Cyr, Frederic; d’Ovidio, Francesco; Darrozes, José; David, Cedric; Dayoub, Nadim; De Staerke, Danielle; Deng, Xiaoli; Desai, Shailen; Desjonqueres, Jean-Damien; Dettmering, Denise; Di Bella, Alessandro; Díaz-Barroso, Lara; Dibarboure, Gerald; Dieng, Habib Boubacar; Dinardo, Salvatore; Dobslaw, Henryk; Dodet, Guillaume; Doglioli, Andrea; Domeneghetti, Alessio; Donahue, David; Dong, Shenfu; Donlon, Craig; Dorandeu, Joël; Drezen, Christine; Drinkwater, Mark; Du Penhoat, Yves; Dushaw, Brian; Egido, Alejandro; Erofeeva, Svetlana; Escudier, Philippe; Esselborn, Saskia; Exertier, Pierre; Fablet, Ronan; Falco, Cédric; Farrell, Sinead Louise; Faugere, Yannice; Femenias, Pierre; Fenoglio, Luciana; Fernandes, Joana; Fernández, Juan Gabriel; Ferrage, Pascale; Ferrari, Ramiro; Fichen, Lionel; Filippucci, Paolo; Flampouris, Stylianos; Fleury, Sara; Fornari, Marco; Forsberg, Rene; Frappart, Frédéric; Frery, Marie-laure; Garcia, Pablo; Garcia-Mondejar, Albert; Gaudelli, Julia; Gaultier, Lucile; Getirana, Augusto; Gibert, Ferran; Gil, Artur; Gilbert, Lin; Gille, Sarah; Giulicchi, Luisella; Gómez-Enri, Jesús; Gómez-Navarro, Laura; Gommenginger, Christine; Gourdeau, Lionel; Griffin, David; Groh, Andreas; Guerin, Alexandre; Guerrero, Raul; Guinle, Thierry; Gupta, Praveen; Gutknecht, Benjamin D.; Hamon, Mathieu; Han, Guoqi; Hauser, Danièle; Helm, Veit; Hendricks, Stefan; Hernandez, Fabrice; Hogg, Anna; Horwath, Martin; Idžanović, Martina; Janssen, Peter; Jeansou, Eric; Jia, Yongjun; Jia, Yuanyuan; Jiang, Liguang; Johannessen, Johnny A.; Kamachi, Masafumi; Karimova, Svetlana; Kelly, Kathryn; Kim, Sung Yong; King, Robert; Kittel, Cecile M.M.; Klein, Patrice; Klos, Anna; Knudsen, Per; Koenig, Rolf; Kostianoy, Andrey; Kouraev, Alexei; Kumar, Raj; Labroue, Sylvie; Lago, Loreley Selene; Lambin, Juliette; Lasson, Léa; Laurain, Olivier; Laxenaire, Rémi; Lázaro, Clara; Le Gac, Sophie; Le Sommer, Julien; Le Traon, Pierre-Yves; Lebedev, Sergey; Léger, Fabien; Legresy, Benoı̂t; Lemoine, Frank; Lenain, Luc; Leuliette, Eric; Levy, Marina; Lillibridge, John; Liu, Jianqiang; Llovel, William; Lyard, Florent; Macintosh, Claire; Makhoul Varona, Eduard; Manfredi, Cécile; Marin, Frédéric; Mason, Evan; Massari, Christian; Mavrocordatos, Constantin; Maximenko, Nikolai; McMillan, Malcolm; Medina, Thierry; Melet, Angelique; Meloni, Marco; Mertikas, Stelios; Metref, Sammy; Meyssignac, Benoit; Minster, Jean-François; Moreau, Thomas; Moreira, Daniel; Morel, Yves; Morrow, Rosemary; Moyard, John; Mulet, Sandrine; Naeije, Marc; Nerem, Robert Steven; Ngodock, Hans; Nielsen, Karina; Nilsen, Jan Even Øie; Niño, Fernando; Nogueira Loddo, Carolina; Noûs, Camille; Obligis, Estelle; Otosaka, Inès; Otten, Michiel; Oztunali Ozbahceci, Berguzar; P. Raj, Roshin; Paiva, Rodrigo; Paniagua, Guillermina; Paolo, Fernando; Paris, Adrien; Pascual, Ananda; Passaro, Marcello; Paul, Stephan; Pavelsky, Tamlin; Pearson, Christopher; Penduff, Thierry; Peng, Fukai; Perosanz, Felix; Picot, Nicolas; Piras, Fanny; Poggiali, Valerio; Poirier, Étienne; Ponce de León, Sonia; Prants, Sergey; Prigent, Catherine; Provost, Christine; Pujol, M-Isabelle; Qiu, Bo; Quilfen, Yves; Rami, Ali; Raney, R. Keith; Raynal, Matthias; Remy, Elisabeth; Rémy, Frédérique; Restano, Marco; Richardson, Annie; Richardson, Donald; Ricker, Robert; Ricko, Martina; Rinne, Eero; Rose, Stine Kildegaard; Rosmorduc, Vinca; Rudenko, Sergei; Ruiz, Simón; Ryan, Barbara J.; Salaün, Corinne; Sanchez-Roman, Antonio; Sandberg Sørensen, Louise; Sandwell, David; Saraceno, Martin; Scagliola, Michele; Schaeffer, Philippe; Scharffenberg, Martin G.; Scharroo, Remko; Schiller, Andreas; Schneider, Raphael; Schwatke, Christian; Scozzari, Andrea; Ser-giacomi, Enrico; Seyler, Frederique; Shah, Rashmi; Sharma, Rashmi; Shaw, Andrew; Shepherd, Andrew; Shriver, Jay; Shum, C.K.; Simons, Wim; Simonsen, Sebatian B.; Slater, Thomas; Smith, Walter; Soares, Saulo; Sokolovskiy, Mikhail; Soudarin, Laurent; Spatar, Ciprian; Speich, Sabrina; Srinivasan, Margaret; Srokosz, Meric; Stanev, Emil; Staneva, Joanna; Steunou, Nathalie; Stroeve, Julienne; Su, Bob; Sulistioadi, Yohanes Budi; Swain, Debadatta; Sylvestre-baron, Annick; Taburet, Nicolas; Tailleux, Rémi; Takayama, Katsumi; Tapley, Byron; Tarpanelli, Angelica; Tavernier, Gilles; Testut, Laurent; Thakur, Praveen K.; Thibaut, Pierre; Thompson, LuAnne; Tintoré, Joaquín; Tison, Céline; Tourain, Cédric; Tournadre, Jean; Townsend, Bill; Tran, Ngan; Trilles, Sébastien; Tsamados, Michel; Tseng, Kuo-Hsin; Ubelmann, Clément; Uebbing, Bernd; Vergara, Oscar; Verron, Jacques; Vieira, Telmo; Vignudelli, Stefano; Vinogradova Shiffer, Nadya; Visser, Pieter; Vivier, Frederic; Volkov, Denis; von Schuckmann, Karina; Vuglinskii, Valerii; Vuilleumier, Pierrik; Walter, Blake; Wang, Jida; Wang, Chao; Watson, Christopher; Wilkin, John; Willis, Josh; Wilson, Hilary; Woodworth, Philip; Yang, Kehan; Yao, Fangfang; Zaharia, Raymond; Zakharova, Elena; Zaron, Edward D.; Zhang, Yongsheng; Zhao, Zhongxiang; Zinchenko, Vadim; Zlotnicki, Victor",2021,68,68
